gene_id,DMSO_24h.1,DMSO_24h.2,DMSO_24h.3,DMSO_24h.4,DMSO_24h.5,SP2509_24h.1,SP2509_24h.2,SP2509_24h.3,SP2509_24h.4,SP2509_24h.5
ENSG00000000003,90,93,136,119,169,101,141,87,148,168
ENSG00000000005,0,0,0,0,0,0,0,0,0,0
ENSG00000000419,629,788,993,735,943,686,858,643,799,801
ENSG00000000457,125,139,207,159,225,179,216,148,224,233
ENSG00000000460,224,223,277,249,304,156,251,166,231,263
ENSG00000000938,0,0,0,0,0,0,5,2,0,54
ENSG00000000971,0,0,0,0,0,0,0,0,0,0
ENSG00000001036,205,214,289,235,306,177,201,200,218,253
ENSG00000001084,440,444,642,471,595,569,694,484,658,641
ENSG00000001167,866,894,1203,907,1102,949,1171,800,1086,1037
ENSG00000001460,105,102,169,129,188,126,183,102,181,193
ENSG00000001461,772,796,1157,812,1030,706,922,647,843,836
ENSG00000001497,1164,1080,1550,1148,1369,845,1092,795,998,994
ENSG00000001561,326,318,466,352,443,459,589,399,552,547
ENSG00000001617,353,325,462,368,446,465,498,420,510,510
ENSG00000001626,0,9,8,0,64,7,7,11,36,63
ENSG00000001629,863,845,1221,881,1085,1083,1340,936,1238,1191
ENSG00000001630,82,89,121,114,159,58,78,72,95,129
ENSG00000001631,724,685,1009,731,897,767,1000,727,913,915
ENSG00000002016,168,183,215,202,253,222,262,190,272,277
ENSG00000002079,20,16,25,45,75,15,32,26,50,82
ENSG00000002330,159,136,194,176,220,127,178,136,180,211
ENSG00000002549,1433,1367,1847,1426,1657,1317,1571,1151,1473,1415
ENSG00000002586,0,0,0,0,0,2,0,0,0,0
ENSG00000002587,99,127,178,139,207,216,288,200,281,295
ENSG00000002726,11,9,5,38,62,12,5,6,37,58
ENSG00000002745,0,0,0,0,0,0,0,0,0,0
ENSG00000002746,0,5,0,0,0,0,8,0,0,0
ENSG00000002822,430,325,500,404,466,364,436,328,430,432
ENSG00000002834,2031,1780,2732,1934,2310,1800,2193,1707,2026,2004
ENSG00000002919,235,196,293,241,299,199,280,177,265,284
ENSG00000002933,0,0,0,0,0,0,0,0,0,0
ENSG00000003056,714,688,1034,729,913,779,951,694,893,874
ENSG00000003096,54,58,79,83,121,59,55,33,87,96
ENSG00000003137,12,10,2,41,59,11,6,10,36,60
ENSG00000003147,627,616,846,651,783,812,1041,750,955,950
ENSG00000003249,1005,962,1330,1011,1197,791,883,664,863,825
ENSG00000003393,511,480,673,526,631,552,688,472,650,634
ENSG00000003400,54,44,71,78,108,58,81,55,96,123
ENSG00000003402,805,744,1156,804,1003,973,1221,891,1124,1109
ENSG00000003436,3118,3097,4356,3135,3779,3204,4070,2976,3665,3574
ENSG00000003509,211,180,296,221,293,186,234,162,236,250
ENSG00000003756,1093,1056,1437,1101,1297,1394,1656,1211,1553,1488
ENSG00000003987,21,35,29,57,85,28,32,24,57,81
ENSG00000003989,478,501,644,519,627,389,470,373,458,473
ENSG00000004059,1320,1182,1661,1280,1476,1371,1618,1124,1522,1423
ENSG00000004139,341,319,452,359,440,381,483,369,458,478
ENSG00000004142,3056,2913,3928,3010,3472,2548,3324,2381,2966,2906
ENSG00000004399,16,15,13,44,65,23,15,12,45,68
ENSG00000004455,2833,2595,3680,2743,3191,2104,2492,1932,2324,2266
ENSG00000004468,7,12,4,38,62,0,0,11,0,0
ENSG00000004478,5231,5033,6867,5160,6001,3438,4446,3242,3971,3899
ENSG00000004487,1372,1255,1742,1343,1551,1047,1235,917,1168,1130
ENSG00000004534,1227,1172,1658,1228,1468,1321,1494,1134,1437,1364
ENSG00000004660,482,427,559,480,544,352,475,359,443,470
ENSG00000004700,347,354,471,378,465,403,496,324,476,462
ENSG00000004766,296,309,377,331,397,327,399,242,390,376
ENSG00000004776,6,12,11,39,64,6,8,11,36,61
ENSG00000004777,195,157,221,202,241,160,202,188,208,248
ENSG00000004779,1090,1147,1521,1146,1386,995,1370,1009,1213,1240
ENSG00000004799,0,0,0,0,0,0,8,0,0,0
ENSG00000004809,9,6,16,33,64,7,8,4,37,58
ENSG00000004838,36,35,38,64,88,29,36,29,59,85
ENSG00000004846,8,5,15,32,63,14,25,11,49,68
ENSG00000004848,23,9,26,42,70,17,12,14,43,64
ENSG00000004864,685,673,900,706,837,621,779,551,727,717
ENSG00000004866,1211,1036,1506,1151,1325,1689,2119,1576,1931,1900
ENSG00000004897,1323,1360,1801,1370,1635,1102,1463,995,1311,1284
ENSG00000004939,11,5,11,37,62,12,11,3,38,62
ENSG00000004948,0,0,0,0,0,0,0,0,0,0
ENSG00000004961,412,395,563,431,531,382,516,342,475,483
ENSG00000004975,658,626,953,668,842,890,1012,780,979,949
ENSG00000005001,12,6,0,37,0,7,0,0,0,0
ENSG00000005007,2293,2235,3061,2292,2700,2035,2549,1868,2319,2263
ENSG00000005020,830,895,1247,888,1122,1153,1356,1032,1283,1245
ENSG00000005022,3288,3532,4863,3439,4250,3738,5033,3417,4413,4280
ENSG00000005059,31,15,22,51,74,45,39,27,71,85
ENSG00000005073,0,0,11,0,0,0,0,7,0,0
ENSG00000005075,525,345,609,463,528,436,521,396,504,510
ENSG00000005100,883,912,1280,925,1150,806,966,706,915,888
ENSG00000005102,0,0,0,0,0,0,0,0,0,0
ENSG00000005108,5,16,9,40,66,14,21,17,48,72
ENSG00000005156,1381,1263,1786,1350,1579,1152,1336,1026,1272,1233
ENSG00000005175,795,806,1107,831,1009,802,959,657,907,862
ENSG00000005187,533,569,810,581,744,508,626,459,593,594
ENSG00000005189,429,389,588,435,540,398,444,352,448,453
ENSG00000005194,781,724,1050,781,942,583,727,555,681,695
ENSG00000005206,588,521,719,583,675,565,653,462,635,609
ENSG00000005238,413,387,506,427,499,387,519,340,481,481
ENSG00000005243,10,11,9,36,64,0,9,0,0,0
ENSG00000005249,291,352,487,349,473,387,494,335,470,467
ENSG00000005302,419,393,613,432,558,435,511,365,500,491
ENSG00000005339,1897,1693,2471,1823,2132,2318,2583,1964,2478,2324
ENSG00000005379,69,50,77,88,117,107,108,109,134,160
ENSG00000005381,0,0,0,0,0,0,0,0,0,0
ENSG00000005421,0,0,6,0,0,0,0,0,0,0
ENSG00000005436,725,754,981,768,920,732,965,696,875,881
ENSG00000005448,108,118,168,139,195,82,150,97,142,176
ENSG00000005469,527,542,771,560,707,503,705,474,631,643
ENSG00000005471,13,5,12,39,61,8,14,4,38,60
ENSG00000005483,1368,1390,1932,1407,1712,1493,1733,1298,1639,1571
ENSG00000005486,743,653,974,727,867,607,801,610,730,758
ENSG00000005513,112,116,168,140,194,132,117,78,153,149
ENSG00000005700,1491,1864,2325,1704,2145,1642,2340,1539,2017,1990
ENSG00000005801,621,602,807,641,760,647,836,580,769,762
ENSG00000005810,6168,6235,8320,6228,7328,5574,7028,5061,6331,6098
ENSG00000005812,803,743,1041,800,943,836,1048,733,967,942
ENSG00000005844,5,11,10,35,64,12,5,9,36,59
ENSG00000005882,176,178,248,204,268,153,187,126,197,210
ENSG00000005884,139,125,184,160,208,188,208,187,228,249
ENSG00000005889,661,657,861,686,814,615,808,556,741,737
ENSG00000005893,2390,2650,3629,2550,3193,3051,4024,2611,3566,3371
ENSG00000005961,5,10,12,35,61,7,5,7,35,58
ENSG00000005981,0,0,0,0,0,0,0,0,0,0
ENSG00000006007,1011,889,1263,977,1126,1003,1341,926,1198,1185
ENSG00000006015,425,369,534,426,506,344,422,303,410,413
ENSG00000006016,24,15,14,48,67,14,22,16,46,74
ENSG00000006025,4,7,15,34,66,11,21,8,43,65
ENSG00000006042,372,382,468,402,477,333,423,306,406,417
ENSG00000006047,28,24,33,54,81,33,44,24,67,89
ENSG00000006059,0,0,0,0,0,0,0,0,0,0
ENSG00000006062,362,295,415,357,408,310,359,260,360,363
ENSG00000006071,57,54,49,85,103,66,67,46,96,111
ENSG00000006116,0,0,0,0,0,0,0,0,0,0
ENSG00000006118,1348,1163,1752,1284,1512,1469,1853,1379,1690,1670
ENSG00000006125,6425,6375,8766,6428,7624,7463,9444,6826,8484,8189
ENSG00000006128,0,0,0,0,0,0,0,0,0,0
ENSG00000006194,660,622,904,671,815,647,777,575,740,729
ENSG00000006210,0,0,0,0,0,0,0,11,0,0
ENSG00000006282,2561,2389,3198,2504,2846,2945,3700,2760,3352,3281
ENSG00000006283,2,4,4,31,55,8,5,3,33,54
ENSG00000006327,94,83,120,115,155,88,154,87,147,173
ENSG00000006377,0,0,0,0,0,9,0,0,0,0
ENSG00000006432,440,396,626,444,566,486,622,483,583,605
ENSG00000006451,621,661,939,669,852,676,839,553,786,748
ENSG00000006453,930,853,1157,920,1056,1029,1220,950,1150,1138
ENSG00000006459,325,354,487,366,472,577,743,486,687,667
ENSG00000006468,924,868,1222,924,1096,777,969,680,901,879
ENSG00000006530,918,920,1254,948,1139,879,1119,810,1028,1016
ENSG00000006534,73,63,89,94,130,65,83,75,102,132
ENSG00000006555,0,4,0,0,0,0,4,0,0,0
ENSG00000006576,773,671,955,751,867,719,868,600,819,787
ENSG00000006606,0,0,4,0,0,7,11,0,34,0
ENSG00000006607,2189,2005,2880,2126,2495,1855,2351,1691,2129,2071
ENSG00000006611,0,0,0,0,0,0,11,0,0,0
ENSG00000006625,765,859,1256,839,1112,864,1085,821,1005,1006
ENSG00000006634,567,602,810,612,756,371,461,359,445,463
ENSG00000006638,13,0,11,0,0,0,15,3,0,60
ENSG00000006652,597,596,773,624,735,1393,1559,1020,1504,1342
ENSG00000006659,0,0,0,0,0,0,0,0,0,0
ENSG00000006695,365,341,462,382,453,331,393,267,387,383
ENSG00000006704,354,348,493,381,475,540,684,515,638,653
ENSG00000006712,1461,1223,1937,1368,1631,1216,1391,1089,1333,1292
ENSG00000006715,789,794,1077,822,986,1067,1344,922,1232,1187
ENSG00000006740,355,336,464,375,451,474,551,408,542,534
ENSG00000006744,1928,1821,2664,1904,2296,1388,1797,1313,1622,1608
ENSG00000006747,15,16,16,43,68,21,20,13,46,69
